item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
1,"Canal base en U 76×38 12 GA × 446.5",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-01,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4-+Y-pos lengueta/posicion · U4-+Y-paso lengueta/paso · U4--Y-pos lengueta/posicion · U4--Y-paso lengueta/paso","—"
2,"Canal de montaje del cilindro 3/16"" 234×103×442.3",1,FIJO,FABRICADA,"Chapa de acero 0.187"" conformada, galvanizada",NBT90-02,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U5-+Y tope/tope · U5--Y tope/tope","—"
3,"Canal lateral anfitrión 6-1/2""×1-1/2"" 12 GA × 463",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-03,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
4,"Canal lateral anfitrión 6-1/2""×1-1/2"" 12 GA × 463",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-04,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
5,"Ménsula jack bolt inferior 12 GA 50×47",2,FIJO,FABRICADA,"Chapa de acero 0.105"", galvanizada",NBT90-05,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
6,"Ménsula jack bolt inferior 12 GA 50×47",2,FIJO,FABRICADA,"Chapa de acero 0.105"", galvanizada",NBT90-06,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
7,"Ménsula jack bolt superior 12 GA 96×30",4,FIJO,FABRICADA,"Chapa de acero 0.105"", galvanizada",NBT90-07,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
8,"Placa colgante del canal 3/16"" con colisas 12.7×38.1",2,FIJO,FABRICADA,"Chapa de acero 0.187"" conformada, galvanizada",NBT90-08,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a3.33 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=3.33 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U5-+Y tope/tope","—"
9,"Side channel 6-1/2""×1-1/4"" 12 GA × 457.2",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-09,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
10,"Side channel 6-1/2""×1-1/4"" 12 GA × 457.2",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-10,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
11,"Soporte de válvula 3/16"" 52×98",1,FIJO,FABRICADA,"Chapa de acero 0.187"", galvanizada",NBT90-11,"tol. gral. ISO 2768-mK · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","—","—","—"
12,"Tapa extremo canal base 12 GA 88×67",1,FIJO,FABRICADA,"Chapa de acero 0.105"" conformada, galvanizada",NBT90-12,"tol. gral. ISO 2768-mK · conjunto soldado ISO 13920-BF · Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 · cordón a1.86 AWS D1.3/D1.3M","Ø11,13 H13 holgura 1,60 mm sobre el vástago Ø9,525 (taladro de paso: la unión trabaja por rozamiento bajo la golilla, no por cortadura del vástago. Es la contrapartida de AJ-11 y por eso se declaran juntos.)","cordón en ángulo (filete) a=1.86 · AWS D1.3/D1.3M — Structural Welding Code, Sheet Steel (e ≤ 4,8 mm); símbolo según ISO 2553","U4-+Y-pos ranura/posicion · U4-+Y-paso ranura/paso","—"
