plano,pieza,x_mm,y_mm,diametro_mm,rosca
BTD-01,"FAB · Cama deslizante e2 607.6×520 (apoyo de banda)",110.15,25.00,7.00,
BTD-01,"FAB · Cama deslizante e2 607.6×520 (apoyo de banda)",110.15,495.00,7.00,
BTD-01,"FAB · Cama deslizante e2 607.6×520 (apoyo de banda)",510.15,25.00,7.00,
BTD-01,"FAB · Cama deslizante e2 607.6×520 (apoyo de banda)",510.15,495.00,7.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",80.00,97.55,22.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",35.00,97.55,10.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",125.00,97.55,10.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",20.00,20.00,9.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",140.00,20.00,9.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",20.00,120.00,9.00,
BTD-02,"FAB · Placa cabezal MOTRIZ PL6 160×140 (ambidiestra ×2)",140.00,120.00,9.00,
BTD-03,"FAB · Placa cabezal TENSOR PL6 200×140 — muesca de carrera 40 (ambidiestra ×2)",175.00,20.00,9.00,
BTD-03,"FAB · Placa cabezal TENSOR PL6 200×140 — muesca de carrera 40 (ambidiestra ×2)",175.00,120.00,9.00,
BTD-03,"FAB · Placa cabezal TENSOR PL6 200×140 — muesca de carrera 40 (ambidiestra ×2)",130.00,20.00,9.00,
BTD-03,"FAB · Placa cabezal TENSOR PL6 200×140 — muesca de carrera 40 (ambidiestra ×2)",130.00,120.00,9.00,
BTD-03,"FAB · Placa cabezal TENSOR PL6 200×140 — muesca de carrera 40 (ambidiestra ×2)",15.00,65.55,8.50,
