plano,pieza,x_mm,y_mm,diametro_mm
CUD-01,"FAB · Cuerpo lateral externo C90°",52.30,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",156.91,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",261.52,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",366.13,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",470.73,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",575.34,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",679.95,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",784.56,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",889.16,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",993.77,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1098.38,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1202.99,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1307.59,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1412.20,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1516.81,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1621.42,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1726.02,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1830.63,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",1935.24,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",2039.85,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",2144.45,154.50,12.70
CUD-01,"FAB · Cuerpo lateral externo C90°",104.61,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",209.22,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",313.82,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",418.43,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",523.04,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",627.65,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",732.25,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",836.86,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",941.47,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1046.08,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1150.68,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1255.29,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1359.90,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1464.51,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1569.11,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1673.72,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1778.33,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1882.94,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1987.54,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",2092.15,132.00,7.00
CUD-01,"FAB · Cuerpo lateral externo C90°",104.61,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",627.65,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1046.08,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1150.68,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1569.11,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",2092.15,112.00,9.00
CUD-01,"FAB · Cuerpo lateral externo C90°",21.20,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",711.05,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",753.45,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1443.31,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1485.71,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",2175.56,102.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",21.20,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",711.05,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",753.45,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1443.31,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",1485.71,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",2175.56,27.50,11.00
CUD-01,"FAB · Cuerpo lateral externo C90°",110.13,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",162.13,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",570.22,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",622.22,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",904.99,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",956.99,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1239.76,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1291.76,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1574.53,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",1626.53,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",2034.63,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",2086.63,74.90,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",110.13,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",162.13,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",570.22,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",622.22,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",904.99,22.60,10.50
CUD-01,"FAB · Cuerpo lateral externo C90°",956.99,22.60,10.50
