item,tipo,item_desc,cant_equipo,cant_proyecto,origen,referencia,plano_corte,plano_vistas,material,desarrollo,masa_kg,area_m2_pintar,bbox_m2_plancha
1,FABRICADA,Bracket soporte B_005A 24V (ángulo: cruciformes + pivote/arco de aplome),4,16,maestranza / taller,,GTD-01,GT-02,Acero S275JR e3 — PINTADO RAL 7035,203×130.8,0.44,0.038,0.027
2,FABRICADA,Cabezal porta-nosebar descarga PL6 470×55,1,4,maestranza / taller,,GTD-02,GT-03,Acero S275JR PL6 — PINTADO RAL 7035,470×55,1.16,0.049,0.026
3,FABRICADA,Cabezal porta-nosebar entrada PL6 470×55,1,4,maestranza / taller,,GTD-02,GT-03,Acero S275JR PL6 — PINTADO RAL 7035,470×55,1.16,0.049,0.026
4,FABRICADA,Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10),4,16,maestranza / taller,,GTD-03,GT-04,Acero S275JR e3 — PINTADO RAL 7035,578×142.6,1.9,0.161,0.082
5,FABRICADA,EJE MOTRIZ cuadrado 38.1 — L=681 (muñones Ø30 h6),1,4,maestranza / taller,,,LBP530-EJ-01,,,6.5,undefined,undefined
6,FABRICADA,Guarda inferior unica — artesa U chapa 1.5 (800×504),1,4,maestranza / taller,,GTD-04,GT-05,Acero S275JR e1.5 — terminación PINTADO RAL 7035,1252.8×1055.6,11.76,1.998,1.322
7,FABRICADA,Mecha porta-chumacera PL8 motriz 320×422,2,8,maestranza / taller,,GTD-05,GT-06,Acero S275JR PL8 — PINTADO RAL 7035,320×422,8.33,0.265,0.135
8,FABRICADA,Placa lateral libre (−Y) PL6 L=800,1,4,maestranza / taller,,GTD-06,GT-01,Acero S275JR PL6 — terminación PINTADO RAL 7035 (decisión Sergio 12-08),800×312.6,11.17,0.474,0.25
9,FABRICADA,Placa lateral motriz (+Y) PL6 L=800,1,4,maestranza / taller,,GTD-06,GT-01,Acero S275JR PL6 — terminación PINTADO RAL 7035 (decisión Sergio 12-08),800×312.6,11.17,0.474,0.25
10,FABRICADA,Portacarril 50×6 con clips (apernado M6 al alma),1,4,maestranza / taller,,GTD-07,GT-07,Acero S275JR e6 — PINTADO RAL 7035,462×50,1.08,0.046,0.023
11,FABRICADA,"Rodillo retorno Ø63.5 — tubo A513 Ø63,5×3,0 + 2 cabezales torneados asiento Ø35 H7 + seeger DIN 472-35 · eje muerto Ø15 SAE1045 roscado M8 — plano LBP530-EJ-04",2,8,maestranza / taller,,,LBP530-EJ-04,,,,undefined,undefined
12,FABRICADA,Tira telescópica BR_3002 84×38×3 (10 ranuras 11×20) + pata B_004A (soldada),4,16,maestranza / taller,,GTD-08,GT-08,Acero S275JR e3 — PINTADO RAL 7035,369×149.6,1.25,0.106,0.055
13,FABRICADA,Travesaño de patas B_002A canal 71×38×3 (L=470),2,8,maestranza / taller,,GTD-09,GT-09,Acero S275JR e3 — PINTADO RAL 7035,476×136.6,1.51,0.129,0.065
14,FABRICADA,"Pletina 12×30 × 704 — guía de apoyo de canto (corte a largo, sin láser)",7,28,maestranza / taller,,,,Barra laminada S235/A36 12×30 — SOLDAR a travesaños según especificación de soldadura del GA,12×30×704,2,undefined,undefined
15,COMPRADA,Banda Movex 530 GT (friction top) 18 in — lazo 2.3 m,1,4,Movex · Italia (importado),P5323010018A,,,,,,undefined,undefined
16,COMPRADA,Chumacera UCF206 Ø30,2,8,rodamientos · local,,,,,,,undefined,undefined
17,COMPRADA,Collarín P21703Y (fija el sprocket central),2,8,Movex · Italia (importado),P21703Y,,,,,,undefined,undefined
18,COMPRADA,"Goma Grip Top 75 ShA (disp. 50 ShA) (+2, 46 filas)",1,4,local,,,,,,,undefined,undefined
19,COMPRADA,Guía de apoyo: pletina 12×30 + BAR CAP 17.53×19.05 (P101203-30),7,28,Movex · Italia (importado),P101203-30,,,,,,undefined,undefined
20,COMPRADA,Guía lateral conical rail L 1¼ in (P12501C) + escuadras,2,8,Movex · Italia (importado),P12501C,,,,,,undefined,undefined
21,COMPRADA,"Motorreductor NMRV-P 075 FA 1/30 PAM 80B14 eje hueco Ø30 H8 + motor 0,55 kW 80A-4 (46 rpm · 89 Nm · fs 2,8) + brazo de torque",1,4,Motovario (distribuidor local),,,,,,,undefined,undefined
22,COMPRADA,"Nosebar descarga 18 in (3× K6 in, transfer plate c/rodamientos) — P22862 — transfer plate C/RODAMIENTOS h19, L=6 in (cotización) — CANT en segmentos K6 in (unidad de compra)",3,12,Movex · Italia (importado),P22862,,,,,,undefined,undefined
23,COMPRADA,"Nosebar entrada 18 in (3× K6 in, transfer plate c/rodamientos) — P22862 — transfer plate C/RODAMIENTOS h19, L=6 in (cotización) — CANT en segmentos K6 in (unidad de compra)",3,12,Movex · Italia (importado),P22862,,,,,,undefined,undefined
24,COMPRADA,Rodamiento 6202-2RS (15×35×11) sellado,4,16,rodamientos · local,,,,,,,undefined,undefined
25,COMPRADA,"Sprocket P158808YF moldeado Z-32, bore cuadrado 1.5 in, grano M8 (cotización 26012937)",6,24,Movex · Italia (importado),P158808YF,,,,,,undefined,undefined
26,COMPRADA,"Chaveta DIN 6885 A 8×7×90, acero C45",1,4,local,,,,muñón motriz → cubo del motorreductor (1 por eje motriz),,,undefined,undefined
27,COMPRADA,Arandela de retención Ø40×6 + tornillo M10×25 8.8 + Loctite 243,1,4,local,,,,retención axial del motorreductor en la rosca M10×22 de punta de eje (EJ-01 nota 6),,,undefined,undefined
28,COMPRADA,Anillo seeger DIN 472 Ø35 (interior),4,16,local,,,,retiene el 6202 en el asiento del cabezal del rodillo (LBP530-EJ-04),,,undefined,undefined
29,TORNILLERÍA,Perno hex M8×25 8.8 + golilla plana y presión,4,16,local,,,,"fija el eje muerto de cada rodillo de retorno, por fuera de la placa (2 por rodillo; rosca interior M8×16 del eje — un perno más largo topa fondo)",,,undefined,undefined
