plano,pieza,x_mm,y_mm,diametro_mm,rosca
LBD-01,"FAB · Bracket soporte B_005A 24V (ángulo: cruciformes + pivote/arco de aplome)",101.50,12.30,11.00,
LBD-01,"FAB · Bracket soporte B_005A 24V (ángulo: cruciformes + pivote/arco de aplome)",146.62,38.35,11.00,
LBD-01,"FAB · Bracket soporte B_005A 24V (ángulo: cruciformes + pivote/arco de aplome)",56.38,38.35,11.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",22.30,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",22.30,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",82.30,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",82.30,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",142.30,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",142.30,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",174.70,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",174.70,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",234.70,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",234.70,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",294.70,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",294.70,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",327.10,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",327.10,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",387.10,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",387.10,20.20,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",447.10,39.25,9.00,
LBD-02,"FAB · Cabezal porta-nosebar entrada PL6 470×55",447.10,20.20,9.00,
LBD-03,"FAB · Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10)",513.30,71.29,11.00,
LBD-03,"FAB · Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10)",565.40,71.29,11.00,
LBD-03,"FAB · Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10)",149.00,71.29,11.00,
LBD-03,"FAB · Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10)",179.00,71.29,11.00,
LBD-03,"FAB · Columna soporte 24V canal C 77×38×3 (pivote+arco / apriete 3×M10)",204.00,71.29,11.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",80.00,368.52,10.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",80.00,268.52,10.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",300.00,368.52,10.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",300.00,268.52,10.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",235.00,222.52,25.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",60.00,12.50,7.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",179.00,12.50,7.00,
LBD-04,"FAB · Guarda motriz — costado libre e2 (358×330)",298.00,12.50,7.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",80.00,368.52,10.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",80.00,268.52,10.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",300.00,368.52,10.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",300.00,268.52,10.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",235.00,103.52,8.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",235.00,183.52,70.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",60.00,12.50,7.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",179.00,12.50,7.00,
LBD-05,"FAB · Guarda motriz — costado motor e2 (358×330)",298.00,12.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",60.00,11.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",179.00,11.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",298.00,11.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",60.00,600.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",179.00,600.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",298.00,600.50,7.00,
LBD-06,"FAB · Guarda motriz — fondo con tapa e2 (356×612)",80.00,313.00,8.00,
LBD-07,"FAB · Guarda tensor — costado lateral e2 (617×235)",238.00,273.52,10.00,
LBD-07,"FAB · Guarda tensor — costado lateral e2 (617×235)",238.00,173.52,10.00,
