item,designacion,cantidad,modulo,tipo,material_o_norma,plano,tolerancia_general,ajustes,soldadura,encajes,acabado
1,"Banda plana 32 × 0.633 — lazo del tambor motriz L=4877.64",5,FIJO,FABRICADA,"Banda plana poliéster/uretano 2.5 mm (empalme sin fin)",SCO-01,"—","—","—","—","—"
2,"Base de guía norte 3/16""",1,FIJO,FABRICADA,"Acero al carbono",SCO-02,"—","—","—","—","—"
3,"Base de guía sur 3/16""",1,FIJO,FABRICADA,"Acero al carbono",SCO-03,"—","—","—","—","—"
4,"Brazo tensor e=8 (+X)",5,FIJO,FABRICADA,"Chapa de acero 0.315"", galvanizada",SCO-04,"—","—","—","—","—"
5,"Brazo tensor e=8 (−X)",5,FIJO,FABRICADA,"Chapa de acero 0.315"", galvanizada",SCO-05,"—","—","—","—","—"
6,"Bulón del lóbulo Ø10×64",5,FIJO,FABRICADA,"Acero al carbono",SCO-06,"—","—","—","—","—"
7,"Cubo del brazo Ø50×58",5,FIJO,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-07,"—","—","—","—","—"
8,"Eje de polea tensora Ø20×70",5,FIJO,FABRICADA,"Acero SAE 1045 rectificado",SCO-08,"—","—","—","—","—"
9,"Eje pivote común Ø30×580.84",1,FIJO,FABRICADA,"Acero SAE 1045 rectificado",SCO-09,"—","—","—","—","—"
10,"Escuadra travesaño↔bastidor 3/16""",4,FIJO,FABRICADA,"Chapa de acero 0.187"", galvanizada",SCO-10,"—","—","—","—","—"
11,"Guarda de pozo lateral +X 14GA 869.9×82.7",1,FIJO,FABRICADA,"Chapa de acero 0.075"", galvanizada",SCO-11,"—","—","—","—","—"
12,"Guarda de pozo lateral −X 14GA 869.9×305",1,FIJO,FABRICADA,"Chapa de acero 0.075"", galvanizada",SCO-12,"—","—","—","—","—"
13,"Guarda de pozo norte 14GA 552×55",1,FIJO,FABRICADA,"Chapa de acero 0.075"", galvanizada",SCO-13,"—","—","—","—","—"
14,"Guarda de pozo sur 14GA 552×383",1,FIJO,FABRICADA,"Chapa de acero 0.075"", galvanizada",SCO-14,"—","—","—","—","—"
15,"Guía de descarga norte 12GA 70.4×52",1,FIJO,FABRICADA,"Acero al carbono",SCO-15,"—","—","—","—","—"
16,"Guía de descarga sur 12GA 70.4×52",1,FIJO,FABRICADA,"Acero al carbono",SCO-16,"—","—","—","—","—"
17,"Ménsula de bisagra — lengüeta e=8",5,FIJO,FABRICADA,"Chapa de acero 0.315"", galvanizada",SCO-17,"—","—","—","—","—"
18,"Placa base de puente 64×28×6",10,FIJO,FABRICADA,"Chapa de acero 0.236"", galvanizada",SCO-18,"—","—","—","—","—"
19,"Placa de extremo del travesaño frontal (+X) 8×80×65",1,FIJO,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-19,"—","—","—","—","—"
20,"Placa de extremo del travesaño frontal (−X) 8×80×65",1,FIJO,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-20,"—","—","—","—","—"
21,"Pletina soporte del regulador de presión AR20",1,FIJO,FABRICADA,"Chapa de acero 0.105"" (12 GA), galvanizada",SCO-21,"—","—","—","—","—"
22,"Polea tensora POL-CON-TEN Ø117.9×40",5,FIJO,FABRICADA,"Aluminio 6061-T6 (o acero mecanizado)",SCO-22,"—","—","—","—","—"
23,"Puente de calle — pletina 30×28×648 A36",5,FIJO,FABRICADA,"Acero al carbono",SCO-23,"—","—","—","—","—"
24,"Puente de calle — regleta UHMW 30×8.55×648",5,FIJO,FABRICADA,"UHMW-PE 1000",SCO-24,"—","—","—","—","—"
25,"Separador Ø38×12.2",4,FIJO,FABRICADA,"Acero al carbono mecanizado",SCO-25,"—","—","—","—","—"
26,"Travesaño frontal del tensor 40×40×3 (L=423.92) — «placa frontal»",1,FIJO,FABRICADA,"Chapa de acero 0.118"", galvanizada",SCO-26,"—","—","—","—","—"
