codigo;nombre;familia;cantidad;material;proceso;largo_mm;desarrollo_mm;espesor_mm;pliegues;agujeros;largo_corte_mm;masa_kg;masa_total_kg;nota
TUB-PATA;Pata — tubo 40x40x2;bastidor;4;acero A36 tubo 40x40x2;corte a medida + Ø11 para remache-tuerca M8;520.0;;;;;;0.943;3.772;
TUB-LARGUERO;Larguero — tubo 40x40x2 (llega hasta el poste de la mesa);bastidor;4;acero A36 tubo 40x40x2;corte a medida + Ø9 de paso + Ø16 de acceso en la cara opuesta;1105.0;;;;;;2.004;8.015;
TUB-TRAVESANO;Travesaño — tubo 40x40x2;bastidor;4;acero A36 tubo 40x40x2;corte a medida + Ø9 de paso;620.0;;;;;;1.124;4.497;
TUB-POSTE;Poste de la mesa de roble — tubo 40x40x2;bastidor;2;acero A36 tubo 40x40x2;corte a medida + Ø11 remache-tuerca M8;855.0;;;;;;1.55;3.101;
TOR-M8x60;Perno M8 + golilla (bastidor, cunas, tiros, mesa y pasadores);tornillería;60;acero zincado 8.8;comprado;;;;;;;0.038;2.28;
REM-M8;Remache-tuerca M8 (tubo, sin acceso interior);tornillería;40;acero zincado;comprado — se instala en el taller de tubos;;;;;;;0.006;0.24;Sustituye a la tuerca soldada: es LA pieza que hace posible el bastidor sin soldadura
TAM-CUBA;Cuba — mitad inferior del tambor de 200 L;tambor;1;acero e1,10 (tambor recuperado);corte longitudinal por el plano diametral + taladrado con plantilla;;;;;;;9.177;9.177;[web] Ø572 x 851, e1,10. Las DOS mitades del mismo tambor se usan: cero descarte
TAM-TAPA;Tapa — mitad superior del mismo tambor;tambor;1;acero e1,10 (tambor recuperado);misma operación de corte;;;;;;;9.177;9.177;
CUN-CUNA;Cuna del tambor (soporta y amarra);chapa CNC;2;chapa de acero e3;corte láser + plegado;;660 x 352;;4;11;3308.0;1.965;3.93;Misma pieza para los dos apoyos: la 2.ª se monta volteada (espejo)
PER-CANTO;Perfil de canto del tambor (rigidiza el corte y asienta la tapa);chapa CNC;4;chapa de acero e2;corte láser + plegado;;851 x 46.3;;1;5;1881.0;0.617;2.468;2 en la cuba y 2 en la tapa: al cerrar, las alas se enfrentan y forman el sello
BIS-HOJA;Hoja de bisagra (pasador M8);chapa CNC;4;chapa de acero e3;corte láser + plegado;;122.5 x 50;;1;3;425.0;0.095;0.38;"Las 4 hojas son la misma pieza; las de la tapa se montan volteadas"
TOR-PASADOR;Pasador de bisagra M8x70 + tuerca autoblocante;tornillería;2;acero zincado;comprado;;;;;;;0.045;0.09;
CRE-RACK;Cremallera de altura de la parrilla (3 niveles);chapa CNC;4;chapa de acero e3;corte láser + plegado;;78.5 x 113;;1;2;453.0;0.14;0.56;Va atornillada a la testa PLANA del tambor: contacto perfecto, sin curvatura
PAR-BARRA;Barra de apoyo de la parrilla — tubo 25x25x2;parrilla;2;acero tubo 25x25x2;corte a medida;844.8;;;;;;1.22;2.44;
PAR-MALLA;Parrilla de fierro 520 x 400 — 25 varillas Ø6, hueco 14 mm;comprados;2;acero al carbono;COMPRADA;;;;;;;3.403;6.805;Fabricarla sin soldadura costaría 8 piezas CNC, 104 agujeros y 104 inserciones de armado: comprarla sale más barato y el hueco queda usable
BRA-CUERPO;Brasero perforado (cama de carbón);chapa CNC;1;chapa de acero e2;corte láser + plegado;;892.7 x 392.7;;4;30;5991.0;5.114;5.114;Los 4 costados plegados lo convierten en viga: 2 mm bastan para 810 mm de luz
BRA-SOP;Apoyo del brasero (riel tangente a la virola);chapa CNC;2;chapa de acero e3;corte láser + plegado;;250 x 83.3;;1;2;708.0;0.489;0.978;Ancho 40 mm en el sentido curvo: el hueco contra la virola es 0,7 mm
SOP-CHUM;Soporte de chumacera del espetón;chapa CNC;2;chapa de acero e3;corte láser + plegado;;130 x 99;;2;3;550.0;0.297;0.594;"Aloja buje de bronce Ø12/Ø16; va a la testa PLANA"
SOP-MOTOR;Soporte del motor de spiedo;chapa CNC;1;chapa de acero e3;corte láser + plegado;;389 x 110;;2;5;1188.0;0.983;0.983;SUPUESTO S2: patrón de montaje del motor 2 x Ø6,6 a 50 mm — verificar con el motor
MOT-SPIEDO;Motor de spiedo 220 V / 40 W / 2,5 rpm, eje Ø8;comprados;1;comprado;comprado;;;;;;;2.2;2.2;"[web] asadoresnewen.cl — 80 kg de capacidad; el diseño pide 15 kg"
ESP-ESPETON;Espetón — barra cuadrada 12x12 inox, 1020 mm;comprados;1;"acero al carbono 12x12 (se cura; inox es opción)";corte a medida + acople;;;;;;;1.153;1.153;
ESP-HORQUILLA;Horquilla del espetón (3 puntas, prisionero M6);comprados;2;acero al carbono;comprado;;;;;;;0.25;0.5;
ESP-BUJE;Buje de bronce Ø12/Ø16 x 10 (chumacera del espetón);comprados;2;bronce SAE 64;comprado;;;;;;;0.02;0.04;
TIR-DISCO;Disco de tiro regulable;chapa CNC;4;chapa de acero e2;corte láser + plegado;;100 x 100;;0;4;653.0;0.091;0.364;Gira sobre su perno central y descubre las 3 lumbreras de la testa
MAD-MESA;Mesa de la testa — roble macizo 620x260x19;madera;1;roble macizo e19;corte + canteado + aceite;;;;;;;2.312;2.312;Va en la TESTA, fuera del alcance del cocinero (no estorba el frente)
