item,cantidad,detalle,para
Botellón de agua purificada 20 L,2,"Ø275 × 495 mm, boca 55-56 mm (el retornable chileno estándar)",ambos
Perfil cuadrado 20×20 mm,3.3 m,aluminio o listón de pino; 3 columnas por aparato (57 cm alimento / 33 cm agua),ambos
Tornillo M4×20 cabeza cilíndrica,24,unión de segmentos de anillo,ambos
Tornillo M4×35,24,abrazaderas de columna en anillos y pies,ambos
Tornillo M4×30,12,tapa del canal y collares de cuello,ambos
Tornillo M4×16,12,adaptador del bidón y canaleta,alimento
Tuerca M4,60,DIN 934,ambos
Arandela M4 Ø9,60,,ambos
Pasador Ø3 × 20 (o clavo cortado),2,retención del eje del piñón,alimento
Tarugo Ø6 + tornillo Ø5×50,4,anclaje de la escuadra al muro,alimento
Cinta de teflón,1 rollo,sellado de la boquilla en el cuello,agua
Fieltro o goma EVA 2 mm,1 plancha,pads antideslizantes de los pies,ambos
Filamento PLA,2.2 kg aprox.,"PLA, incluye ambos aparatos y las dos variantes de adaptador",ambos
